"EQID","STATID","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude","X_ev","Y_ev","X_stat","Y_stat"
3,78,4.93,81.713100490925,81.2,"NF",1197.88658,1.4696055,44.5418,6.6932,45.1482,7.2653,-159.933571826645,4965.72749812934,-108.027482125676,5028.59775932153
3,79,4.93,141.595482949987,141.3,"NF",511.326993,1.654635,44.5418,6.6932,44.6826,8.4624,-159.933571826645,4965.72749812934,-18.111889523849,4968.52323180851
3,80,4.93,29.8353949502935,28.4,"NF",1030.,18.658805,44.5418,6.6932,44.379738,6.96837,-159.933571826645,4965.72749812934,-139.850452243072,4945.52192066318
3,81,4.93,108.485947439473,108.1,"NF",599.587561,5.155065,44.5418,6.6932,44.3842,8.0332,-159.933571826645,4965.72749812934,-54.9687907376259,4938.20603687076
3,82,4.93,41.8118498973676,40.8,"NF",823.899606,5.8596385,44.5418,6.6932,44.70377,7.154374,-159.933571826645,4965.72749812934,-121.551188802807,4980.07379439798
3,83,4.93,69.1074582938774,68.5,"NF",357.891329,4.78849,44.5418,6.6932,44.41658,7.53608,-159.933571826645,4965.72749812934,-94.243160515937,4945.3104378893
3,84,4.93,53.2901566130181,52.5,"NF",503.,10.6008995,44.5418,6.6932,44.315143,7.271007,-159.933571826645,4965.72749812934,-116.418657409044,4936.01141721
3,85,4.93,145.188156513677,144.9,"NF",574.708494,0.484182,44.5418,6.6932,45.82947,6.982964,-159.933571826645,4965.72749812934,-122.620179929777,5106.44608140298
3,86,4.93,64.2537998241349,63.6,"NF",383.,3.7096135,44.5418,6.6932,44.875845,7.344133,-159.933571826645,4965.72749812934,-104.707093168088,4997.74977545598
3,87,4.93,60.9891858597899,60.3,"NF",932.766346,5.5606305,44.5418,6.6932,44.244865,7.3262,-159.933571826645,4965.72749812934,-112.750743220529,4927.78792270887
3,88,4.93,65.7388834088319,65.1,"NF",387.334465,3.912418,44.5418,6.6932,44.650898,7.499066,-159.933571826645,4965.72749812934,-94.7864998928289,4971.61203518483
3,89,4.93,72.8757901627145,72.3,"NF",637.,4.612542,44.5418,6.6932,45.142525,7.042957,-159.933571826645,4965.72749812934,-125.56738275503,5029.67480134837
3,90,4.93,97.3303693193445,96.9,"NF",329.974507,1.229473,44.5418,6.6932,45.100891,7.633984,-159.933571826645,4965.72749812934,-79.5279912946363,5020.61917868852
3,91,4.93,110.279648130741,109.9,"NF",1160.619361,1.114135,44.5418,6.6932,43.7997,7.6017,-159.933571826645,4965.72749812934,-95.2121831878467,4876.30024247377
3,92,4.93,77.4415960052477,76.9,"NF",1013.023334,3.555357,44.5418,6.6932,44.0156,7.31897,-159.933571826645,4965.72749812934,-115.720118974734,4902.37135994612
3,93,4.93,176.8365086509,176.6,"NF",544.732948,0.426205,44.5418,6.6932,43.2368,5.43778,-159.933571826645,4965.72749812934,-276.614958486954,4831.71916849209
3,94,4.93,111.375898612941,111,"NF",605.,1.6239895,44.5418,6.6932,43.8034,5.75907,-159.933571826645,4965.72749812934,-243.453436104107,4891.72214228298
3,95,4.93,137.504293721469,137.2,"NF",2090.,0.7328825,44.5418,6.6932,43.6265,5.54306,-159.933571826645,4965.72749812934,-263.100420298068,4874.04567455626
3,96,4.93,105.995050789365,105.6,"NF",636.636769,3.2377445,44.5418,6.6932,43.7838,7.48942,-159.933571826645,4965.72749812934,-104.408563584633,4875.35199784137
3,97,4.93,105.297677048642,104.9,"NF",578.873669,5.297819,44.5418,6.6932,43.675,7.212,-159.933571826645,4965.72749812934,-127.881895838798,4865.3389969887
3,98,4.93,106.692458926768,106.3,"NF",1085.200012,0.755952,44.5418,6.6932,43.6895,7.295,-159.933571826645,4965.72749812934,-121.038020611435,4866.32123490218
3,99,4.93,103.504593095379,103.1,"NF",385.140053,6.726643,44.5418,6.6932,43.7094,7.26276,-159.933571826645,4965.72749812934,-123.429745599502,4868.77566462612
3,100,4.93,105.297677048642,104.9,"NF",517.788995,2.719481,44.5418,6.6932,43.6991,7.28533,-159.933571826645,4965.72749812934,-121.717822147585,4867.46075113522
3,101,4.93,104.500721489567,104.1,"NF",390.24436,2.678315,44.5418,6.6932,43.707,7.283,-159.933571826645,4965.72749812934,-121.82346205435,4868.35606148826
3,102,4.93,156.56717661068,156.3,"NF",1003.,0.259704,44.5418,6.6932,45.892,6.136,-159.933571826645,4965.72749812934,-187.602914087381,5120.3901015147
3,103,4.93,157.864976457224,157.6,"NF",240.,1.426153,44.5418,6.6932,45.9036,6.13289,-159.933571826645,4965.72749812934,-187.699765126068,5121.70537537217
3,104,4.93,137.404515179961,137.1,"NF",196.,2.1648055,44.5418,6.6932,45.6345,5.88419,-159.933571826645,4965.72749812934,-210.41813289852,5094.01103399128
3,105,4.93,121.843509436654,121.5,"NF",1383.,0.5854635,44.5418,6.6932,43.7323,5.67181,-159.933571826645,4965.72749812934,-251.373663444274,4884.61622807531
3,106,4.93,131.218904094799,130.9,"NF",1454.,0.4119075,44.5418,6.6932,45.5888,5.933,-159.933571826645,4965.72749812934,-207.193993831466,5088.50039385108
