,0,1,2,3
472,-250.0,4100.0,-25.0,0.0
473,-250.0,4125.0,-25.0,0.0
474,-250.0,4150.0,-25.0,0.0
475,-250.0,4175.0,-25.0,0.0
476,-250.0,4200.0,-25.0,0.0
477,-250.0,4225.0,-25.0,0.0
478,-250.0,4250.0,-25.0,0.0
479,-250.0,4275.0,-25.0,0.0
480,-250.0,4300.0,-25.0,0.0
481,-250.0,4325.0,-25.0,0.0
482,-250.0,4350.0,-25.0,0.0
483,-250.0,4375.0,-25.0,0.0
484,-250.0,4400.0,-25.0,0.0
485,-250.0,4425.0,-25.0,0.0
486,-250.0,4450.0,-25.0,0.0
487,-250.0,4475.0,-25.0,0.0
488,-250.0,4500.0,-25.0,0.0
489,-250.0,4525.0,-25.0,0.0
490,-250.0,4550.0,-25.0,0.0
491,-250.0,4575.0,-25.0,0.0
492,-250.0,4600.0,-25.0,0.0
493,-250.0,4625.0,-25.0,0.0
